experiment,ramp_spread,fe_spread,be_spread,fe_mean,be_mean,rp_obj,eev_obj,vss,pct_vss,rp_exp_unmet,eev_exp_unmet,unmet_gap,rp_fill_rate,eev_fill_rate,fill_rate_gap,rp_exp_inv,eev_exp_inv,inv_gap,rp_xf_fe1,rp_xf_fe2,ev_xf_fe1,ev_xf_fe2,fe2_gap,total_starts_gap,rp_outsource_fe,ev_outsource_fe,rp_outsource_be,ev_outsource_be,profit_gap,rp_total_starts,ev_total_starts,status_rp,status_eev
A_FE_only,0.450000,0.350000,0.200000,0.825000,0.800000,6376.114469,6205.740808,170.373661,2.672061,30.000000,33.579545,3.579545,96.000000,95.522727,0.477273,0.000000,0.000000,0.000000,10.000000,6.153846,10.000000,0.909091,5.244755,5.244755,Yes,Yes,Yes,Yes,170.373661,16.153846,10.909091,Optimal,Optimal
A_FE_only,0.460000,0.355000,0.200000,0.822500,0.800000,6375.926633,6200.883099,175.043534,2.745382,30.000000,33.869681,3.869681,96.000000,95.484043,0.515957,0.000000,0.000000,0.000000,10.000000,6.279070,10.000000,0.942249,5.336821,5.336821,Yes,Yes,Yes,Yes,175.043534,16.279070,10.942249,Optimal,Optimal
A_FE_only,0.470000,0.360000,0.200000,0.820000,0.800000,6375.735863,6195.995795,179.740068,2.819127,30.000000,34.161585,4.161585,96.000000,95.445122,0.554878,0.000000,0.000000,0.000000,10.000000,6.406250,10.000000,0.975610,5.430640,5.430640,Yes,Yes,Yes,Yes,179.740068,16.406250,10.975610,Optimal,Optimal
A_FE_only,0.480000,0.365000,0.200000,0.817500,0.800000,6375.542088,6191.078584,184.463504,2.893299,30.000000,34.455275,4.455275,96.000000,95.405963,0.594037,0.000000,0.000000,0.000000,10.000000,6.535433,10.000000,1.009174,5.526259,5.526259,Yes,Yes,Yes,Yes,184.463504,16.535433,11.009174,Optimal,Optimal
A_FE_only,0.490000,0.370000,0.200000,0.815000,0.800000,6375.345238,6186.131217,189.214021,2.967902,30.000000,34.750766,4.750766,96.000000,95.366564,0.633436,0.000000,0.000000,0.000000,10.000000,6.666667,10.000000,1.042945,5.623722,5.623722,Yes,Yes,Yes,Yes,189.214021,16.666667,11.042945,Optimal,Optimal
A_FE_only,0.500000,0.375000,0.200000,0.812500,0.800000,6375.145238,6181.153398,193.991840,3.042940,30.000000,35.048076,5.048076,96.000000,95.326923,0.673077,0.000000,0.000000,0.000000,10.000000,6.800000,10.000000,1.076923,5.723077,5.723077,Yes,Yes,Yes,Yes,193.991840,16.800000,11.076923,Optimal,Optimal
B_BE_only,0.010000,0.150000,0.010000,0.875000,0.800000,6565.303710,6445.812638,119.491073,1.820039,15.000000,15.000000,0.000000,98.000000,98.000000,0.000000,0.000000,0.000000,0.000000,10.000000,3.125000,10.000000,0.285714,2.839286,2.839286,Yes,Yes,Yes,Yes,119.491073,13.125000,10.285714,Optimal,Optimal
B_BE_only,0.020000,0.150000,0.020000,0.875000,0.800000,6565.277338,6445.786266,119.491072,1.820046,15.000000,15.000000,0.000000,98.000000,98.000000,0.000000,0.000000,0.000000,0.000000,10.000000,3.125000,10.000000,0.285714,2.839286,2.839286,Yes,Yes,Yes,Yes,119.491072,13.125000,10.285714,Optimal,Optimal
B_BE_only,0.030000,0.150000,0.030000,0.875000,0.800000,6565.233370,6445.742298,119.491073,1.820058,15.000000,15.000000,0.000000,98.000000,98.000000,0.000000,0.000000,0.000000,0.000000,10.000000,3.125000,10.000000,0.285714,2.839286,2.839286,Yes,Yes,Yes,Yes,119.491073,13.125000,10.285714,Optimal,Optimal
B_BE_only,0.040000,0.150000,0.040000,0.875000,0.800000,6565.171787,6445.680714,119.491073,1.820075,15.000000,15.000000,0.000000,98.000000,98.000000,0.000000,0.000000,0.000000,0.000000,10.000000,3.125000,10.000000,0.285714,2.839286,2.839286,Yes,Yes,Yes,Yes,119.491073,13.125000,10.285714,Optimal,Optimal
