scenario,fe_spread,v_d,rp_obj,eev_obj,vss,pct_vss,rp_unmet,eev_unmet,unmet_gap,rp_inv,eev_inv,rp_fe1,rp_fe2,ev_fe1,ev_fe2,rp_total,ev_total
S2: Baseline ($3),0.43,3,6284.2994056875,5809.902282568751,474.39712311874973,7.548926180846898,30.0,61.63494875000001,31.634948750000007,0.0,0.0,10.0,8.0,10.0,2.4567474,18.0,12.4567474
S2: Baseline ($3),0.44,3,6274.841369964375,5785.357726375,489.4836435893749,7.8007333529158815,30.0,63.371080000000006,33.371080000000006,0.0,0.0,10.0,8.0,10.0,2.543554,18.0,12.543554
S2: Baseline ($3),0.45,3,6263.70386994375,5760.468657775,503.23521216874997,8.034147568557854,30.0,65.13158,35.13158,0.0,0.0,10.0,8.0,10.0,2.6315789,18.0,12.631578900000001
S2: Baseline ($3),0.46,3,6250.07261994375,5735.227845662501,514.8447742812496,8.237420676335807,30.2625,66.91696,36.65446,0.0,0.0,10.0,8.0,10.0,2.7208481,18.0,12.7208481
S2: Baseline ($3),0.47000000000000003,3,6223.97261994375,5709.627697650001,514.3449222937488,8.263932920360393,31.8375,68.7277575,36.8902575,0.0,0.0,10.0,8.0,10.0,2.8113879,18.0,12.8113879
S2: Baseline ($3),0.48000000000000004,3,6197.87261994375,5683.660521675,514.2120982687493,8.296590294774663,33.4125,70.56451625,37.152016249999996,0.0,0.0,10.0,8.0,10.0,2.9032258,18.0,12.9032258
S2: Baseline ($3),0.49,3,6171.772619943751,5657.318382150001,514.4542377937505,8.335599340314634,34.9875,72.4277975,37.4402975,0.0,0.0,10.0,8.0,10.0,2.9963899,18.0,12.9963899
S2: Baseline ($3),0.5,3,6136.037202875,5628.973747000002,507.063455874998,8.263695918229061,37.5,74.48863701249999,36.98863701249999,0.0,0.0,10.0,8.0,10.0,3.0909091,18.0,13.090909100000001
S3: High ($5),0.01,5,6322.13714555,6228.500000702501,93.63714484749926,1.48109955054373,30.0,30.0,0.0,0.0,0.0,10.0,2.1387283,10.0,0.28571429,12.1387283,10.28571429
S3: High ($5),0.02,5,6321.9241853,6228.5000011150005,93.42418418499983,1.4777808377113033,30.0,30.0,0.0,0.0,0.0,10.0,2.2807018,10.0,0.28571429,12.2807018,10.28571429
S3: High ($5),0.03,5,6321.70618475,6228.499999877501,93.20618487249885,1.4743833729150893,30.0,30.0,0.0,0.0,0.0,10.0,2.4260355,10.0,0.28571429,12.4260355,10.28571429
S3: High ($5),0.04,5,6321.48296255,6228.500000702501,92.9829618474987,1.4709042545610318,30.0,30.0,0.0,0.0,0.0,10.0,2.5748503,10.0,0.28571429,12.5748503,10.28571429
S3: High ($5),0.05,5,6321.25432895,6228.500001940001,92.75432700999863,1.4673405337482397,30.0,30.0,0.0,0.0,0.0,10.0,2.7272727,10.0,0.28571429,12.7272727,10.28571429
S3: High ($5),0.060000000000000005,5,6321.0200846,6228.499999671251,92.52008492874847,1.463689146537544,30.0,30.0,0.0,0.0,0.0,10.0,2.8834356,10.0,0.28571429,12.8834356,10.28571429
S3: High ($5),0.06999999999999999,5,6320.78002055,6228.500001321251,92.28001922874864,1.4599466984886296,30.0,30.0,0.0,0.0,0.0,10.0,3.0434783,10.0,0.28571429,13.0434783,10.28571429
S3: High ($5),0.08,5,6320.533917199999,6228.500001197501,92.0339160024987,1.456109835152499,30.0,30.0,0.0,0.0,0.0,10.0,3.2075472,10.0,0.28571429,13.2075472,10.28571429
S3: High ($5),0.09,5,6320.2815437,6226.67797660875,93.60356709124972,1.48100312373826,30.0,30.0,0.0,0.0,0.0,10.0,3.3757962,10.0,0.28571429,13.3757962,10.28571429
S3: High ($5),0.09999999999999999,5,6320.0226573499995,6224.556547683751,95.46610966624849,1.5105342946076976,30.0,30.0,0.0,0.0,0.0,10.0,3.5483871,10.0,0.28571429,13.5483871,10.28571429
S3: High ($5),0.11,5,6319.7570027,6221.197619026874,98.55938367312592,1.5595438816875116,30.0,30.0,0.0,0.0,0.0,10.0,3.7254902,10.0,0.28571429,13.7254902,10.28571429
S3: High ($5),0.12,5,6319.4843108,6216.954763590001,102.52954720999878,1.6224353470547552,30.0,30.0,0.0,0.0,0.0,10.0,3.9072848,10.0,0.28571429,13.9072848,10.28571429
